Coin,Indicator,Result,Credit,PrevPrice,UpdateTime
BTC,MAIndicator,SELL,1,24071.16,1658330588.9338765
BTC,EMAIndicator,BUY,1,24075.0,1658330590.880665
BTC,MACDIndicator,SELL,1,24075.24,1658330593.864408
BTC,BBIndicator,SELL,1,24075.72,1658330595.0458107
LTC,MAIndicator,SELL,1,61.2,1658330595.9564526
LTC,EMAIndicator,BUY,1,61.2,1658330596.874729
LTC,MACDIndicator,HOLD,1,61.19,1658330599.0768805
LTC,BBIndicator,SELL,1,61.19,1658330599.9867585
BURGER,MAIndicator,BUY,1,1.831,1658330601.1684024
BURGER,EMAIndicator,BUY,1,1.831,1658330602.087521
BURGER,MACDIndicator,HOLD,1,1.831,1658330603.0092654
