[2022-07-13 22:51:16,057] [BBIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 22:51:17,172] [BBIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 22:51:17,872] [BBIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 22:51:18,623] [BBIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 22:51:20,628] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:51:20,628] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:51:20,628] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:51:20,628] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:51:20,629] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:51:20,630] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:52:08,799] [BBIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 22:52:09,938] [BBIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 22:52:10,721] [BBIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 22:52:11,438] [BBIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 22:52:13,450] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:52:13,450] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:52:13,450] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:52:13,450] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:52:13,451] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:52:13,451] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:53:32,556] [BBIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 22:53:33,141] [BBIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 22:53:33,670] [BBIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 22:53:34,037] [BBIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 22:53:36,053] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
