[2022-07-31 21:04:41,714] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:04:56,674] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:04:58,064] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:04:58,064] [RSIIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-31 21:04:58,080] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:04:58,080] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:02,003] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:05:02,003] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:05,331] [RSIIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-31 21:05:05,331] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:06,925] [RSIIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-31 21:05:06,925] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:12,154] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:05:12,154] [RSIIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-31 21:05:12,154] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:05:12,154] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:32,927] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:05:34,913] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:05:34,913] [RSIIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-31 21:05:34,913] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:05:34,913] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:38,906] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:05:38,906] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:40,683] [RSIIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-31 21:05:40,683] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:42,414] [RSIIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-31 21:05:42,414] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:05:57,255] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:05:58,159] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:05:58,159] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:05:58,175] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:06:01,072] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:06:01,072] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:06:30,570] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:06:31,148] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:06:31,164] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:06:31,164] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:06:33,773] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:06:33,773] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:10:08,093] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:10:09,186] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:10:09,186] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:10:09,186] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:10:12,233] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:10:12,233] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:10:14,873] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:10:14,873] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:10:14,873] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:10:16,795] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:10:16,795] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:10:19,091] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:10:19,091] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:10:19,091] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:10:21,389] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:10:21,389] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:10:33,280] [RSIIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-31 21:10:34,218] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
