[2022-07-06 22:35:29,125] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:36:30,971] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:38:54,737] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:40:27,202] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:40:28,334] [indiTest] [check] [INFO]: Sold 12060.9, Currency: Burger
[2022-07-06 22:40:28,334] [indiTest] [check] [INFO]: Sold 17085.5, Currency: Burger
[2022-07-06 22:40:28,334] [indiTest] [check] [INFO]: Sold 15474.5, Currency: Burger
[2022-07-06 22:40:43,690] [indiTest] [check] [INFO]: Sold 16943.9, Currency: Burger
[2022-07-06 22:40:43,690] [indiTest] [check] [INFO]: Sold 15474.5, Currency: Burger
[2022-07-06 22:40:59,824] [indiTest] [check] [INFO]: Sold 16943.9, Currency: Burger
[2022-07-06 22:40:59,824] [indiTest] [check] [INFO]: Sold 15474.5, Currency: Burger
[2022-07-06 22:48:53,784] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:48:54,091] [indiTest] [check] [INFO]: Sold 10031.4, Currency: BURGER
[2022-07-06 22:49:25,528] [indiTest] [check] [INFO]: Sold 10210.6, Currency: BURGER
[2022-07-06 22:52:18,687] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:53:20,702] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:53:36,409] [indiTest] [check] [INFO]: Sold 11453.2, Currency: BURGER
[2022-07-06 22:53:44,261] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:54:04,570] [indiTest] [init_logger] [INFO]: Initialize logger
[2022-07-06 22:54:04,878] [indiTest] [check] [INFO]: Sold 3426.7, Currency: BURGER
[2022-07-06 22:54:04,880] [indiTest] [check] [INFO]: Sold 1929.9, Currency: BURGER
[2022-07-06 22:54:04,880] [indiTest] [check] [INFO]: Sold 2637.9, Currency: BURGER
[2022-07-06 22:54:04,880] [indiTest] [check] [INFO]: Sold 2646.9, Currency: BURGER
[2022-07-06 22:54:04,880] [indiTest] [check] [INFO]: Sold 1869.2, Currency: BURGER
[2022-07-06 22:54:04,880] [indiTest] [check] [INFO]: Sold 2867.0, Currency: BURGER
[2022-07-06 22:54:04,880] [indiTest] [check] [INFO]: Sold 2504.0, Currency: BURGER
[2022-07-06 22:54:04,881] [indiTest] [check] [INFO]: Sold 1131.5, Currency: BURGER
[2022-07-06 22:54:04,881] [indiTest] [check] [INFO]: Sold 9627.1, Currency: BURGER
[2022-07-06 22:54:04,881] [indiTest] [check] [INFO]: Sold 3861.4, Currency: BURGER
[2022-07-06 22:54:04,881] [indiTest] [check] [INFO]: Sold 2379.2, Currency: BURGER
[2022-07-06 22:54:04,881] [indiTest] [check] [INFO]: Sold 5791.4, Currency: BURGER
[2022-07-06 22:54:04,881] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 22:54:04,881] [indiTest] [check] [INFO]: Sold 2094.0, Currency: BURGER
[2022-07-06 22:54:04,882] [indiTest] [check] [INFO]: Sold 4495.9, Currency: BURGER
[2022-07-06 22:54:04,882] [indiTest] [check] [INFO]: Sold 2735.6, Currency: BURGER
[2022-07-06 22:54:04,882] [indiTest] [check] [INFO]: Sold 8668.0, Currency: BURGER
[2022-07-06 22:54:04,882] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 22:54:04,882] [indiTest] [check] [INFO]: Sold 5938.9, Currency: BURGER
[2022-07-06 22:54:04,882] [indiTest] [check] [INFO]: Sold 2144.2, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 1507.7, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 2445.1, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 2637.9, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 2646.9, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 1869.2, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 2860.5, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 2504.0, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 1131.5, Currency: BURGER
[2022-07-06 22:54:20,228] [indiTest] [check] [INFO]: Sold 9627.1, Currency: BURGER
[2022-07-06 22:54:20,241] [indiTest] [check] [INFO]: Sold 3861.4, Currency: BURGER
[2022-07-06 22:54:20,241] [indiTest] [check] [INFO]: Sold 2379.2, Currency: BURGER
[2022-07-06 22:54:20,241] [indiTest] [check] [INFO]: Sold 5791.4, Currency: BURGER
[2022-07-06 22:54:20,242] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 22:54:20,242] [indiTest] [check] [INFO]: Sold 2094.0, Currency: BURGER
[2022-07-06 22:54:20,242] [indiTest] [check] [INFO]: Sold 4495.9, Currency: BURGER
[2022-07-06 22:54:20,242] [indiTest] [check] [INFO]: Sold 2735.6, Currency: BURGER
[2022-07-06 22:54:20,242] [indiTest] [check] [INFO]: Sold 8668.0, Currency: BURGER
[2022-07-06 22:54:20,242] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
